timestamp, frame, x, y, z, qx, qy, qz, qw
1968365.479942416, 001091, 0.26771381, 0.29209098, 0.65179646, -0.42838877, 0.69465756, 0.54964614, -0.17839026
1968365.496610625, 001092, 0.26323134, 0.29172686, 0.65036637, -0.42689034, 0.6950172, 0.55092096, -0.17664056
1968365.513278958, 001093, 0.26310188, 0.2916767, 0.65055, -0.42490536, 0.6955419, 0.5523654, -0.1748408
1968365.529947375, 001094, 0.2643292, 0.29171818, 0.65120906, -0.42294604, 0.6961882, 0.5535746, -0.17318736
1968365.546615833, 001095, 0.26592922, 0.2917981, 0.6520121, -0.4214824, 0.6966813, 0.5545275, -0.17171805
1968365.563284166, 001096, 0.26761913, 0.29189387, 0.6528574, -0.42054698, 0.69673795, 0.5555702, -0.17040622
1968365.579952541, 001097, 0.26930773, 0.29194602, 0.6536506, -0.4196014, 0.6967933, 0.5565074, -0.16945018
1968365.596620958, 001098, 0.26649463, 0.29139823, 0.6524719, -0.41865978, 0.696811, 0.5573743, -0.16885608
1968365.613289333, 001099, 0.2666343, 0.29121515, 0.6526137, -0.41790333, 0.6967574, 0.5583235, -0.16781189
1968365.6299575, 001100, 0.26770672, 0.29116037, 0.6531589, -0.4172487, 0.6966702, 0.5592818, -0.16660836
1968365.646625958, 001101, 0.26903808, 0.2911414, 0.6537376, -0.41649154, 0.6964426, 0.5603171, -0.16597384
1968365.663294291, 001102, 0.27037334, 0.29111522, 0.65423775, -0.41559708, 0.69604456, 0.5613733, -0.16631636
1968365.679962666, 001103, 0.27167684, 0.29105854, 0.6547444, -0.41476783, 0.69544923, 0.5625992, -0.16673411
1968365.696631083, 001104, 0.2687689, 0.29062107, 0.654198, -0.41446856, 0.6951893, 0.56310946, -0.16683951
1968365.713299458, 001105, 0.26856443, 0.2903612, 0.6544546, -0.41439304, 0.69528085, 0.56319314, -0.16636239
1968365.729967833, 001106, 0.26918328, 0.2901245, 0.6548869, -0.41428646, 0.6955142, 0.5630386, -0.16617571
1968365.746636208, 001107, 0.26999095, 0.2898689, 0.6552804, -0.4140516, 0.6956206, 0.56290156, -0.16677873
1968365.7633045, 001108, 0.27079642, 0.28956756, 0.6556252, -0.41406527, 0.6952352, 0.56304634, -0.16785972
1968365.779972875, 001109, 0.2715193, 0.2892065, 0.6559549, -0.41477418, 0.69417197, 0.56340617, -0.16929616
1968365.79664125, 001110, 0.2678209, 0.28885365, 0.65536755, -0.4160022, 0.69281876, 0.56372696, -0.17075253
1968365.813309625, 001111, 0.26702768, 0.288389, 0.6553723, -0.41674817, 0.6919438, 0.56388, -0.1719708
1968365.829978, 001112, 0.26720244, 0.28783387, 0.6555264, -0.41682732, 0.69158924, 0.563902, -0.17312978
1968365.846646375, 001113, 0.26767534, 0.2872326, 0.6556989, -0.41670397, 0.69120365, 0.563996, -0.17465356
1968365.86331475, 001114, 0.26818556, 0.28662848, 0.65586114, -0.41700363, 0.6903742, 0.564101, -0.17686625
1968365.879983125, 001115, 0.2686742, 0.2860118, 0.6560242, -0.41790158, 0.68898594, 0.5643007, -0.1795031
1968365.896651333, 001116, 0.2659718, 0.2860377, 0.65563226, -0.41915578, 0.6872588, 0.5646117, -0.1822018
1968365.913319791, 001117, 0.265421, 0.28556508, 0.65556765, -0.42011818, 0.68570477, 0.56494796, -0.18477963
1968365.929988125, 001118, 0.26557705, 0.28491706, 0.6555277, -0.42064163, 0.68449, 0.56507546, -0.18768008
1968365.946656541, 001119, 0.2659297, 0.28422335, 0.6554294, -0.4208588, 0.683269, 0.5651462, -0.19139275
1968365.963324916, 001120, 0.2663159, 0.2835363, 0.65530944, -0.4210564, 0.6817093, 0.56534666, -0.19587523
1968365.97999325, 001121, 0.26667696, 0.28288057, 0.6551944, -0.42142797, 0.67967427, 0.5657379, -0.20095275
1968365.996661666, 001122, 0.26459277, 0.28296605, 0.65530443, -0.4222479, 0.6772901, 0.5658963, -0.20675176
1968366.013330041, 001123, 0.26400352, 0.28266358, 0.6552654, -0.4233074, 0.674908, 0.56563514, -0.21299556
1968366.029998416, 001124, 0.26391184, 0.2822352, 0.65520775, -0.42453164, 0.6725181, 0.56518245, -0.21922867
1968366.046666625, 001125, 0.26403892, 0.28173622, 0.65516454, -0.4256014, 0.67027915, 0.5647083, -0.22515316
1968366.063335041, 001126, 0.2642994, 0.28118658, 0.655115, -0.42619312, 0.66826403, 0.5643676, -0.23080729
1968366.080003375, 001127, 0.26464832, 0.28059998, 0.6550504, -0.42636308, 0.66651464, 0.56401217, -0.23635374
1968366.096671791, 001128, 0.26397172, 0.2810692, 0.655506, -0.4265719, 0.6650373, 0.56335545, -0.2416454
1968366.113340166, 001129, 0.2640633, 0.28082642, 0.65561813, -0.42705873, 0.6637837, 0.56237686, -0.24646355
1968366.1300085, 001130, 0.26443088, 0.28036207, 0.6555629, -0.42779842, 0.6625997, 0.5610537, -0.25133443
1968366.146676916, 001131, 0.2648837, 0.27983847, 0.65535784, -0.4286097, 0.66120213, 0.5595824, -0.25685233
1968366.163345291, 001132, 0.26536918, 0.27929878, 0.6550477, -0.42955986, 0.65949833, 0.55803293, -0.26294413
1968366.180013541, 001133, 0.26587927, 0.27874637, 0.6546763, -0.43087322, 0.65764946, 0.5562074, -0.26921895
1968366.196681916, 001134, 0.26545712, 0.2791348, 0.65446246, -0.43274784, 0.655967, 0.55372316, -0.2753677
1968366.21335025, 001135, 0.26563573, 0.27881956, 0.653967, -0.4347816, 0.6542894, 0.55093247, -0.2816803
1968366.230018708, 001136, 0.26596302, 0.27823913, 0.6532718, -0.4368804, 0.6523108, 0.547971, -0.28871098
1968366.246687041, 001137, 0.26623547, 0.27751896, 0.6524426, -0.43922126, 0.6497969, 0.5448594, -0.29660925
